Date,actual,predicted
2018-02-05,254.259995,257.0972006233205
2018-02-06,265.720001,260.5186923956263
2018-02-07,264.559998,269.72146168523324
2018-02-08,250.100006,253.57172633615886
2018-02-09,249.470001,241.53127670250996
2018-02-12,257.950012,255.29158061178822
2018-02-13,258.269989,258.6149020494668
2018-02-14,266.0,268.23116765455035
2018-02-15,280.269989,276.638707231039
2018-02-16,278.519989,279.19309074748804
2018-02-20,278.549988,283.3820452430986
2018-02-21,281.040009,284.4785870277804
2018-02-22,278.140015,276.9889265367066
2018-02-23,285.929993,282.5559221273949
2018-02-26,294.160004,293.26440899772786
2018-02-27,290.609985,293.9196643993783
2018-02-28,291.380005,293.715885166988
2018-03-01,290.390015,288.00551841291957
2018-03-02,301.049988,296.8810756322117
2018-03-05,315.0,310.5442053488071
2018-03-06,325.220001,323.11571333423757
2018-03-07,321.160004,319.71329017410636
2018-03-08,317.0,316.86614878075585
2018-03-09,331.440002,329.254661664742
2018-03-12,321.299988,322.9896662729496
2018-03-13,315.880005,317.45868543671435
2018-03-14,321.549988,322.97682334467345
2018-03-15,321.089996,319.53077997645244
2018-03-16,318.450012,321.46675087415684
2018-03-19,313.480011,310.33787561519256
2018-03-20,317.5,318.01887035600333
2018-03-21,316.480011,317.4914318468821
2018-03-22,306.700012,308.21140571972717
2018-03-23,300.940002,303.6664682489283
2018-03-26,320.350006,312.80469385522656
2018-03-27,300.690002,302.0515523480195
2018-03-28,285.769989,286.0429689833967
2018-03-29,295.350006,285.416809346113
2018-04-02,280.290009,279.3325478603307
2018-04-03,283.670013,284.4851657335792
2018-04-04,288.940002,285.0586111977862
2018-04-05,293.970001,295.07657530852276
2018-04-06,288.850006,294.37874990392373
2018-04-09,289.929993,296.1233402808865
2018-04-10,298.070007,294.42281060554745
2018-04-11,303.670013,309.8347064049132
2018-04-12,309.25,309.14283305284886
2018-04-13,311.649994,310.7788067319552
2018-04-16,307.779999,307.69532591590604
2018-04-17,336.059998,334.5130430295093
2018-04-18,334.519989,334.7830012417662
2018-04-19,332.700012,330.23896057182
2018-04-20,327.769989,330.93446239742997
2018-04-23,318.690002,321.17174047990494
2018-04-24,307.019989,306.77315772650246
2018-04-25,305.76001,298.6234516364776
2018-04-26,313.980011,311.96140145691646
2018-04-27,311.76001,309.40605266197605
2018-04-30,312.459991,315.8367182692905
2018-05-01,313.299988,310.04584591630396
2018-05-02,313.359985,315.1124720145454
2018-05-03,311.690002,307.23579758581064
2018-05-04,320.089996,317.655408431544
2018-05-07,326.26001,325.5837672756263
2018-05-08,326.890015,324.95506529630217
2018-05-09,330.299988,330.5550410559587
2018-05-10,329.600006,328.83651168390924
2018-05-11,326.459991,327.161676677053
2018-05-14,328.529999,329.84726665521805
2018-05-15,326.130005,324.09566648828473
2018-05-16,328.190002,328.1780234530308
2018-05-17,325.220001,326.40415846109715
2018-05-18,324.179993,324.5363483552757
2018-05-21,331.820007,329.840526009313
2018-05-22,331.619995,334.03726149033577
2018-05-23,344.720001,341.0234006447784
2018-05-24,349.290009,350.18404982208347
2018-05-25,351.290009,353.06576440761694
2018-05-29,349.730011,351.7654962265014
2018-05-30,353.540009,351.48228483251717
2018-05-31,351.600006,352.6973665085456
2018-06-01,359.929993,358.21984760968445
2018-06-04,361.809998,357.5505763024704
2018-06-05,365.799988,367.3677693359388
2018-06-06,367.450012,366.17117462683865
2018-06-07,361.399994,360.2986339020494
2018-06-08,360.570007,360.2602760004257
2018-06-11,361.450012,364.3309428996278
2018-06-12,363.829987,364.4530081907595
2018-06-13,379.929993,378.8295246461182
2018-06-14,392.869995,392.88544891579045
2018-06-15,391.980011,395.4320193373701
2018-06-18,390.399994,391.46693313772425
2018-06-19,404.980011,402.08264303602846
2018-06-20,416.76001,415.3429323112644
2018-06-21,415.440002,411.80361122439996
